,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
0,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
1,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
2,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
3,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
4,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
5,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
6,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
7,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
8,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
9,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
10,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
11,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
12,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
13,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
14,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
15,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
16,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
17,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
18,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
19,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
